sw_id	char	reading	juan	confidence	quote	note
5	吏	未找到	1	high		卷1一部此段脫文，丕吏不見
120	瑁	未找到	1	medium		玉部珽瑁璬一段不見
735	牭	亦聲	3	high	四歳牛从牛四四亦聲	
1092	迹	聲	4	high	歩處也从辵亦聲	亦本身為聲符，與大徐同文
1418	𤴙	無聲	4	high	門户䟽窓也从疋囱囱象形	無疋亦聲；下條𤕟作疋亦聲
1526	詔	亦聲	5	medium	告也从言从召召亦聲	反切作之紹切，疑據大徐補入
1745	菐	未找到	5	medium		僅存僕條注尾，菐條闕
1782	釁	未找到	6	medium		爨部至革部首段闕
1998	政	未找到	6	low	正也子帥以正孰敢不正	僅存正也與注，析形語闕
2034	𢿳	聲	6	medium	煩也从攴□聲	□當即𤔔；無亦
2169	瞑	亦聲	7	high	翕目也从目冥冥亦聲	
2492	幽	未找到	8	medium		𢆶部不見
2726	腔	未找到	8	medium		脧腔一段不見
2984	筑	未找到	9	medium		籟條下脫文，僅存筑陟祝反
3078	愷	亦聲	9	high	康也从心豈豈亦聲	卷20心部另有康也从心豈聲
3218	饗	未找到	10	medium		饋饗饛一段不見
3786	枰	未找到	11	medium		僅存鍇注枰語，許說闕
4325	圅	未找到	13	medium		𢎘部不見
4726	瘧	未找到	14	medium		僅存魚謔反，正文闕
5030	傾	未找到	15	medium		人部此段不見
5179	儈	未找到	15	medium		人部此段不見
5184	僦	未找到	15	medium		人部此段不見
5535	𣣸	亦聲	16	medium	言意从欠从亦聲讀若酉	𠧴字脫（非□），僅存亦聲
5782	匌	未找到	17	medium		勹部至匓前闕
6562	赩	未找到	19	medium		赤部文八止於赫，無赩
6635	奘	聲	20	high	駔大也从大壯聲	
6780	𢛆	聲	20	high	急也从心弦聲	
6903	恇	亦聲	20	high	怯也从心匡匡亦聲	
7393	㵞	聲	21	high	腹中有水气也从水愁聲	
7667	否	未找到	23	medium		不部闕；卷3口部否作从口不聲
8042	拲	未找到	23	medium		挌拲掫一段不見
8088	姻	聲	24	high	壻家也女之所因故曰姻从女因聲	
8298	奸	亦聲	24	high	犯滛从女干干亦聲	
8763	螟	亦聲	25	high	蟲食榖葉者吏冥冥犯法即生螟从虫从冥冥亦聲	卷25據大徐補
8956	鼀	亦聲	25	high	圥鼀詹諸也其鳴詹諸其皮鼀鼁其行圥圥从黽从圥圥亦聲	卷25據大徐補
9156	黃	未找到	26	medium		畺後即接男部舅，黃部闕
9334	鈴	其他聲	27	medium	鈐釘也从金今聲	今當即令之訛，連丁反；無亦
9542	轚	亦聲	27	high	車轄相擊也从車毄毄亦聲	
9615	阢	其他聲	28	medium	石山載土也从□几聲	几當即兀之訛；無亦
9758	酒	未找到	28	medium		臾之後至𨢊間闕，酉酒不見
12	禮	未找到	1	high		卷1示部開頭殘缺，缺示至祥
203	琀	未找到	1	high		卷1玉部玕以後殘缺
757	犓	亦聲	3	high	以芻莖飬牛也从牛芻芻亦聲	
1313	齨	聲	4	medium	老人齒如□从齒□聲馬八歳齒□也	□聲，無亦；□當作臼
1419	𤕟	亦聲	4	high	通也徔爻疋亦聲	作从爻疋，無从疋；後接卷5
1553	𧧼	亦聲	5	high	人所冝也从言宜亦聲也	
1746	僕	未找到	5	high		釋義缺，只存臣鍇語及盤沃反
1789	鞣	未找到	6	high		革部開頭殘缺，鞄至靼均缺
2019	㪉	聲	6	high	合會也从攴合聲	
2041	鼓	亦聲	6	high	撃皷也从攴壴壴亦聲	臣鍇亦云故云亦聲此㑹意
2225	齅	未找到	7	high		鼻字頭以後殘缺，接羽部
2494	叀	未找到	8	high		卷8冓至玄之間缺幺𢆶叀部
2765	剝	聲	8	high	裂也从刀录聲一曰录剋割也	
3024	𤯌	未找到	9	high		釋義缺，只存庚堪反前殘註
3092	𧈚	亦聲	9	high	器也从䖒㿾㿾亦聲	
3246	餽	亦聲	10	high	呉人謂祭曰餽从食鬼鬼亦聲	
3850	糶	未找到	12	high		出部缺，賣𦤙也找不到
4329	𣐺	亦聲	13	medium	木垂華實也从木□□亦聱	□代𢎘；聱當作聲
4896	帟	未找到	14	medium		巾部有幕無帟，未見从巾亦
5141	係	聲	15	high	絜束也从人系聲	
5180	低	未找到	15	high		大徐新附字，儈債也找不到
5192	化	亦聲	15	high	敎行也从人从匕匕亦聲	𠤎作匕
5668	靦	亦聲	17	high	靣見也从靣見亦聲	
5808	魑	未找到	17	high		大徐新附字；鬼部止於魋
6596	尳	亦聲	20	high	膝病从尣骨骨亦聲	
6671	息	未找到	20	high		心部開頭缺至情字註
6796	懝	未找到	20	high		心部此段缺；卷5譺是別字
7131	泬	無聲	21	medium	水从孔疾出也从水宂	宂當即穴，無聲字
7406	泮	亦聲	21	high	諸侯饗射之宫也西南為水東北為墻从水半半亦聲	
7738	閽	聲	23	high	常㠯昏閉門隷也从門昏聲	
8070	姓	未找到	24	medium		卷24起於姓註尾，釋義缺
8093	妊	亦聲	24	high	孕也从女壬壬亦聲	
8381	匹	未找到	24	high		匸部缺，亡部後接匚籀文
8764	蟘	亦聲	25	high	蟲食苗葉者吏乞貸則生蟘从虫从貸貸亦聲	卷25，據大徐補
8982	坪	聲	26	high	地平也从土平聲	
9167	功	聲	26	high	㠯劳㝎國也从力工聲	
9405	鍒	未找到	27	high		金部鉅以後殘缺，接幵部
9576	陸	聲	28	high	髙平地从□坴聲	□代𨸏
9649	隙	聲	28	medium	壁際孔也从□□聲	□聲，無亦；□當作𡭴
54	禬	聲	1	high	㑹福祭也从示㑹聲	auto_guess correct
568	䒹	亦聲	2	high	耕名从艸耒耒亦聲	gloss has 耕名 for 耕多艸
765	㹂	亦聲	3	high	牛狠不从引也从牛臤臤亦聲	
1318	䶤	聲	4	high	齧骨聲从齒骨聲	no 亦; no 从骨
1437	舌	未找到	4/5	high	-	舌/干 section missing at end of 卷4 and start of 卷5
1633	𧥣	未找到	5	medium	-	no 扣也 or 求婦 anywhere
1766	樊	亦聲	5	high	鷙不行也从□棥亦聲	□ is the 𠬜 radical; no 从棥
1798	䩡	亦聲	6	high	鞮䩡沙也从革从夾夾亦聲	
2029	敡	未找到	6	high	-	攴部 gap from 敵 to 敗
2075	甫	未找到	6/7	high	-	用部 missing; 卷7 starts at 䀠
2230	奭	未找到	7	high	-	gap from 鼻 into 羽部 (翟)
2518	𠭘	未找到	8	high	-	𣦼部 lost between 敢 and 歺
2768	劃	亦聲	8	high	錐刀也从刀畫畫亦聲	
3028	𣆑	無聲	9	high	告也从册曰	commentary: 㑹意
3177	阱	未找到	10	high	-	井部 breaks off after 井 heading
3261	䢈	未找到	10	high	-	會部 jumps straight to 入部
4189	晛	亦聲	13	high	日見也从日見見亦聲	
4634	窞	未找到	14	high	-	after 窳 the text jumps to 突
4919	敝	未找到	14	high	-	㡀部 missing; 白部 runs into 黹
5157	像	未找到	15	medium	-	not in Xiao Xu 人部
5181	債	未找到	15	medium	-	not in Xiao Xu 人部
5203	從	未找到	15	high	-	从部 has heading only, then 北
5687	彰	聲	17	high	文章也从彡章聲	auto_guess correct
6303	𤞛	未找到	19	high	-	狀/獒 also absent from 犬部
6621	𠅣	亦聲	20	high	直項莽皃从亢从夋夋倨也亢亦聲	
